landmark,x,y
0,0.502,0.666
1,0.502,0.559
2,0.5,0.59
3,0.486,0.479
4,0.503,0.533
5,0.504,0.501
6,0.505,0.425
7,0.349,0.427
8,0.505,0.37
9,0.506,0.337
10,0.508,0.214
11,0.502,0.675
12,0.5,0.685
13,0.499,0.691
14,0.499,0.692
15,0.499,0.701
16,0.498,0.712
17,0.497,0.725
18,0.494,0.75
19,0.501,0.574
20,0.48,0.575
21,0.265,0.341
22,0.411,0.451
23,0.388,0.454
24,0.367,0.452
25,0.34,0.437
26,0.431,0.444
27,0.38,0.377
28,0.406,0.38
29,0.357,0.382
30,0.342,0.392
31,0.322,0.455
32,0.414,0.795
33,0.342,0.42
34,0.256,0.45
35,0.299,0.44
36,0.394,0.549
37,0.476,0.659
38,0.477,0.683
39,0.449,0.668
40,0.429,0.678
41,0.455,0.684
42,0.436,0.687
43,0.4,0.713
44,0.484,0.559
45,0.482,0.534
46,0.311,0.377
47,0.438,0.486
48,0.431,0.557
49,0.43,0.544
50,0.331,0.55
51,0.484,0.504
52,0.363,0.346
53,0.332,0.357
54,0.288,0.292
55,0.46,0.365
56,0.428,0.391
57,0.384,0.691
58,0.277,0.698
59,0.447,0.571
60,0.465,0.579
61,0.405,0.693
62,0.41,0.693
63,0.321,0.343
64,0.43,0.57
65,0.405,0.347
66,0.4,0.327
67,0.381,0.227
68,0.303,0.313
69,0.392,0.272
70,0.3,0.368
71,0.28,0.352
72,0.476,0.672
73,0.452,0.677
74,0.433,0.683
75,0.452,0.576
76,0.407,0.693
77,0.418,0.696
78,0.413,0.692
79,0.458,0.56
80,0.44,0.69
81,0.457,0.689
82,0.477,0.69
83,0.467,0.749
84,0.47,0.722
85,0.473,0.71
86,0.475,0.698
87,0.477,0.69
88,0.439,0.69
89,0.436,0.694
90,0.431,0.7
91,0.427,0.707
92,0.409,0.643
93,0.254,0.572
94,0.501,0.582
95,0.426,0.691
96,0.422,0.694
97,0.472,0.589
98,0.438,0.586
99,0.468,0.584
100,0.415,0.502
101,0.381,0.519
102,0.426,0.557
103,0.325,0.252
104,0.339,0.284
105,0.355,0.328
106,0.418,0.726
107,0.452,0.332
108,0.446,0.271
109,0.439,0.215
110,0.35,0.447
111,0.299,0.474
112,0.445,0.437
113,0.32,0.406
114,0.454,0.468
115,0.445,0.545
116,0.277,0.493
117,0.312,0.49
