landmark,x,y,region,shape
0,0,0.24,face,line
1,0.01,0.37,face,line
2,0.03,0.49,face,line
3,0.05,0.62,face,line
4,0.11,0.73,face,line
5,0.2,0.83,face,line
6,0.3,0.91,face,line
7,0.4,0.98,face,line
8,0.5,1,face,line
9,0.6,0.98,face,line
10,0.7,0.91,face,line
11,0.8,0.83,face,line
12,0.89,0.73,face,line
13,0.95,0.62,face,line
14,0.97,0.49,face,line
15,0.99,0.37,face,line
16,1,0.24,face,line
17,0.1,0.09,brow_right,line
18,0.15,0.04,brow_right,line
19,0.23,0,brow_right,line
20,0.32,0.01,brow_right,line
21,0.4,0.04,brow_right,line
22,0.6,0.04,brow_left,line
23,0.68,0.01,brow_left,line
24,0.77,0,brow_left,line
25,0.85,0.04,brow_left,line
26,0.9,0.09,brow_left,line
27,0.5,0.18,nose_ridge,line
28,0.5,0.25,nose_ridge,line
29,0.5,0.32,nose_ridge,line
30,0.5,0.39,nose_ridge,line
31,0.4,0.46,nose_bottom,line
32,0.45,0.48,nose_bottom,line
33,0.5,0.49,nose_bottom,line
34,0.55,0.48,nose_bottom,line
35,0.6,0.46,nose_bottom,line
36,0.2,0.2,eye_right,polygon
37,0.26,0.17,eye_right,polygon
38,0.32,0.17,eye_right,polygon
39,0.38,0.21,eye_right,polygon
40,0.32,0.23,eye_right,polygon
41,0.26,0.23,eye_right,polygon
42,0.62,0.21,eye_left,polygon
43,0.68,0.17,eye_left,polygon
44,0.74,0.17,eye_left,polygon
45,0.8,0.2,eye_left,polygon
46,0.74,0.23,eye_left,polygon
47,0.68,0.23,eye_left,polygon
48,0.28,0.61,mouth_outer,polygon
49,0.37,0.58,mouth_outer,polygon
50,0.44,0.56,mouth_outer,polygon
51,0.5,0.58,mouth_outer,polygon
52,0.56,0.56,mouth_outer,polygon
53,0.63,0.58,mouth_outer,polygon
54,0.72,0.61,mouth_outer,polygon
55,0.63,0.7,mouth_outer,polygon
56,0.56,0.72,mouth_outer,polygon
57,0.5,0.73,mouth_outer,polygon
58,0.44,0.72,mouth_outer,polygon
59,0.37,0.7,mouth_outer,polygon
60,0.31,0.62,mouth_inner,polygon
61,0.44,0.62,mouth_inner,polygon
62,0.5,0.62,mouth_inner,polygon
63,0.56,0.62,mouth_inner,polygon
64,0.69,0.62,mouth_inner,polygon
65,0.56,0.67,mouth_inner,polygon
66,0.5,0.67,mouth_inner,polygon
67,0.44,0.67,mouth_inner,polygon
